算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数
LBBD3.py,5-2-3-a1-i2.json,5,2,3,1,2,1173,1173,0,1,0.097,0.012,0.078,0,4
LBBD3.py,5-2-3-a1-i3.json,5,2,3,1,3,1206,1206,0,1,0.169,0.007,0.155,0,3
LBBD3.py,5-2-4-a0.1-i1.json,5,2,4,0.1,1,1318,1318,0,1,0.186,0.01,0.167,0,2
LBBD3.py,5-2-4-a100-i1.json,5,2,4,100,1,1279,1279,0,1,0.106,0.009,0.089,0,2
LBBD3.py,5-2-5-a0.1-i1.json,5,2,5,0.1,1,1217,1217,0,1,0.184,0.009,0.166,0,1
LBBD3.py,5-2-5-a10-i1.json,5,2,5,10,1,1217,1217,0,1,0.202,0.012,0.179,0,1
LBBD3.py,5-3-3-a1-i1.json,5,3,3,1,1,796,796,0,1,0.257,0.012,0.234,0,2
LBBD3.py,5-3-3-a100-i2.json,5,3,3,100,2,938,938,0,1,0.193,0.014,0.171,0,1
LBBD3.py,5-3-4-a1-i3.json,5,3,4,1,3,1194,1194,0,1,0.103,0.013,0.078,0,4
LBBD3.py,5-3-4-a10-i3.json,5,3,4,10,3,1107,1107,0,1,0.106,0.011,0.085,0,3
LBBD3.py,5-3-5-a10-i2.json,5,3,5,10,2,1117,1117,0,1,0.193,0.015,0.165,0,2
LBBD3.py,5-3-5-a100-i2.json,5,3,5,100,2,1117,1117,0,1,0.204,0.016,0.175,0,2
LBBD3.py,5-4-3-a10-i1.json,5,4,3,10,1,832,832,0,1,0.112,0.012,0.09,0,2
LBBD3.py,5-4-3-a100-i1.json,5,4,3,100,1,832,832,0,1,0.112,0.013,0.088,0,2
LBBD3.py,5-4-4-a1-i1.json,5,4,4,1,1,798,798,0,1,0.189,0.014,0.162,0,2
LBBD3.py,5-4-4-a10-i3.json,5,4,4,10,3,1124,1124,0,1,0.268,0.015,0.238,0,1
LBBD3.py,5-4-5-a0.1-i2.json,5,4,5,0.1,2,989,989,0,1,0.185,0.014,0.156,0,2
LBBD3.py,5-4-5-a1-i2.json,5,4,5,1,2,989,989,0,1,0.202,0.015,0.17,0,2
LBBD3.py,10-2-3-a10-i3.json,10,2,3,10,3,2294,2294,0,1,0.197,0.015,0.169,0,6
LBBD3.py,10-2-3-a100-i1.json,10,2,3,100,1,2316,2316,0,1,0.118,0.017,0.091,0,5
LBBD3.py,10-2-4-a100-i2.json,10,2,4,100,2,2007,2007,0,1,0.201,0.015,0.173,0,4
LBBD3.py,10-2-4-a100-i3.json,10,2,4,100,3,2258,2258,0,1,0.201,0.014,0.174,0,3
LBBD3.py,10-2-5-a1-i1.json,10,2,5,1,1,2244,2244,0,1,0.211,0.022,0.175,0,6
LBBD3.py,10-2-5-a100-i1.json,10,2,5,100,1,2244,2244,0,1,0.212,0.019,0.175,0,6
LBBD3.py,10-3-3-a100-i2.json,10,3,3,100,2,2153,2153,0,1,0.306,0.018,0.264,0,3
LBBD3.py,10-3-3-a100-i3.json,10,3,3,100,3,1907,1907,0,1,0.284,0.021,0.249,0,5
LBBD3.py,10-3-4-a10-i3.json,10,3,4,10,3,1767,1767,0,1,0.295,0.027,0.247,0,3
